company_name,parent_company,ats_platform,jobs_in_dataset,scraper_status,notes
Northrop Grumman,,phenom,2501,active,
GE Aerospace,,phenom,715,active,Possible undercount — DOM selector issue in phenom_scraper. Run dom_inspector.py.
Relativity Space,,greenhouse,290,active,
Rocket Lab,,greenhouse,280,active,
Planet Labs,,greenhouse,85,active,
Hermeus,,lever,50,active,
SpaceX,,greenhouse,50,active,
Standard Aero,,oracle,50,active,
Sierra Nevada Corporation,,workday,48,active,
631 Booz Allen Hamilton_United States,Booz Allen Hamilton,workday,40,active,
The Boeing Company,Boeing,workday,40,active,Undersampled — scraper throttled. Do not use for quantitative claims.
Vantor Services Inc.,Vantor,workday,27,active,
Wisk Aero LLC,,workday,23,active,
Moog Military Aircraft LLC,,workday,20,active,
Moog Inc,,workday,17,active,
"01 & 04 Woodward, Inc.",,workday,16,active,
L3Harris,,talentbrew,15,active,
52 CAE USA Inc,CAE,workday,14,active,
202 ELDEC Aerospace Corp.,,workday,10,active,
10 CAE Canada Inc,CAE,workday,9,active,
2164 Airbus Defence and Space SAU,Airbus,workday,9,active,
"340 Crane Electronics, Inc.",,workday,9,active,
211 Hydro-Aire Aerospace Corp.,,workday,8,active,
"DY4 Curtiss-Wright DS, Inc.",Curtiss-Wright,workday,8,active,
EMD Curtiss Wright Electro Mechanical,Curtiss-Wright,workday,8,active,
"160 Reuter-Stokes, LLC",,workday,6,active,
Moog Controls Ltd.,,workday,6,active,
1466 Airbus Helicopters SAS,Airbus,workday,5,active,
45 Woodward Poland Sp.zo.o,,workday,5,active,
53 CAE Simuflite Inc,CAE,workday,5,active,
D4S DY-4 Systems Inc.,,workday,5,active,
Vantor Holdings Inc.,Vantor,workday,5,active,
"1568 Airbus Americas, Inc.",Airbus,workday,4,active,
63 Woodward Control Solutions Pte. Ltd.,,workday,4,active,
"Boeing Distribution, Inc.",Boeing,workday,4,active,
Vantor Inc.,,workday,4,active,
1264 AIRBUS DS SLC SAS,,workday,3,active,
"16 MPC Products Corporation (Woodward MPC, Inc.)",,workday,3,active,
2626 Airbus Canada Limited Partnership,,workday,3,active,
2780 Avions de Transport Regional (ATR) GIE,,workday,3,active,
31 Woodward L'Orange GmbH,,workday,3,active,
3507 Airbus Operations SAS,,workday,3,active,
Boeing Aerospace Operations,Boeing,workday,3,active,
FCC Curtiss Wright Flow Control Corp,,workday,3,active,
1360 Airbus Atlantique Canada Inc.,,workday,2,active,
2916 Airbus Operations SL,,workday,2,active,
3510 AIRBUS SAS,,workday,2,active,
621 Druck Limited,,workday,2,active,
791 Crane Nuclear PFT Corp,,workday,2,active,
80 Woodward Bulgaria EOOD,,workday,2,active,
86 CAE GmbH,,workday,2,active,
99 CAE Servicios Globales Instruc,,workday,2,active,
Archer Veterinary Clinic,,greenhouse,2,active,
ESG EST Group Inc,,workday,2,active,
FCS Curtiss Wright Flow Control Service LLC,,workday,2,active,
MIC Metal Improvement Co LLC,,workday,2,active,
Millennium Space Systems,,workday,2,active,
Moog Wolverhampton Limited,,workday,2,active,
NCS Curtiss-Wright Wimborne Limited,,workday,2,active,
Vantor Asia Pacific Pte Ltd,,workday,2,active,
Vantor Sweden AB,,workday,2,active,
WIC Weed Instrument Co Inc,,workday,2,active,
08 CAE Parc Aviation,,workday,1,active,
102 CAE Bangkok,,workday,1,active,
"11 & A1 Woodward HRT, Inc.",,workday,1,active,
125 SimCom International Inc,,workday,1,active,
"1457 Airbus Helicopters España, SA",,workday,1,active,
183 Panametrics LLC,,workday,1,active,
37 CAE Training & Services UK Ltd,,workday,1,active,
"4231 Airbus Helicopters, Inc.",,workday,1,active,
47 Woodward Aken GmbH,,workday,1,active,
5325 Airbus Portugal SA,,workday,1,active,
5405 Airbus Operations GmbH,,workday,1,active,
710 Crane Ltd.,,workday,1,active,
72 CAE Australia,,workday,1,active,
741 Crane Pumps & Systems PFT Corp.,,workday,1,active,
80 Chile CAE Aviation Training  LT,,workday,1,active,
901 901 D LLC,,workday,1,active,
ACL Acra Control Limited,,workday,1,active,
ARN Arens Controls Company LLC,,workday,1,active,
Boeing India Private Limited,Boeing,workday,1,active,
EXL Exlar Corporation,,workday,1,active,
Focal Technologies Corporation,,workday,1,active,
Moog Controls Corp.,,workday,1,active,
Moog India Technology Center Pvt. Ltd.,,workday,1,active,
Moog MDG SRL,,workday,1,active,
WIL Williams Controls Industries Inc,,workday,1,active,
"WSC WSC, Inc",,workday,1,active,
ZEVEX Inc.,,workday,1,active,
RTX / Raytheon,,workday,0,blocked_cloudflare,Cloudflare Bot Management blocks all automated access.
Leidos,,workday,0,blocked_cloudflare,Cloudflare Bot Management blocks all automated access.
